Name,Address,Postal_Code,City
Orlen Włóczków,"5 Włóczków, 30-103 Kraków",30-103,Kraków
bp Kapelanka,"2 Kapelanka, 30-347 Kraków",30-347,Kraków
LOTOS Optima Kapelanka,"14 Kapelanka, 30-347 Kraków",30-347,Kraków
Shell Konopnickiej,"78 Marii Konopnickiej, 30-302 Kraków",30-302,Kraków
R8 Kapelanka,"30 Kapelanka, 30-347 Kraków",30-347,Kraków
Orlen Podgórska,"32 Podgórska, 31-536 Kraków",31-536,Kraków
Orlen Wioślarska,"Wioślarska, 30-206 Kraków",30-206,Kraków
Stacja Korzonek Kazimierz,"20 Piastowska, 30-065 Kraków",30-065,Kraków
Tesco Kapelanka,"54 Kapelanka, Kraków",,Kraków
bp Mateczny,"4 Wadowicka, 30-415 Kraków",30-415,Kraków
Orlen Kazimierza Wielkiego,"121 Kazimierza Wielkiego, 30-074 Kraków",30-074,Kraków
Circle K Armii Krajowej,"10 Armii Krajowej, Kraków",,Kraków
R8 Prądnicka,"32 Prądnicka, 31-202 Kraków",31-202,Kraków
Orlen Kamienna,"18 Kamienna, 31-403 Kraków",31-403,Kraków
ARGE Wielicka,"22 Wielicka, 30-552 Kraków",30-552,Kraków
Orlen Wielicka,"21 Wielicka, 30-552 Kraków",30-552,Kraków
Orlen Roweckiego,"33 Generała Stefana Grota-Roweckiego, 30-348 Kraków",30-348,Kraków
Petrodom Kraków,"21 Cystersów, 31-553 Kraków",31-553,Kraków
Orlen Armii Krajowej,"21a Armii Krajowej, 30-150 Kraków",30-150,Kraków
ARGE Powstańców Wielkopolskich,"13 Powstańców Wielkopolskich, 30-707 Kraków",30-707,Kraków
Polpetrol,"Księdza Józefa Tischnera, 30-418 Kraków",30-418,Kraków
Realbenz,"56 Bartosza Głowackiego, 30-085 Kraków",30-085,Kraków
bp Rogatka,"39B Aleja 29 Listopada, Kraków",,Kraków
Orlen Wybickiego,"3e Józefa Wybickiego, 31-261 Kraków",31-261,Kraków
Circle K Powstańców Wielkopolskich,"17 Powstańców Wielkopolskich, 30-707 Kraków",30-707,Kraków
Krak Gaz,"18 Generała Henryka Kamieńskiego, Kraków",,Kraków
Stacja paliw - Czyżewskiego,"1 Tytusa Czyżewskiego, 30-085 Kraków",30-085,Kraków
Shell Bratysławska,"1 Bratysławska, 31-201 Kraków",31-201,Kraków
Circle K Mogilska,"81 Mogilska, 31-545 Kraków",31-545,Kraków
Stacja paliw Auchan,"11 Generała Henryka Kamieńskiego, 30-644 Kraków",30-644,Kraków
Orlen Nowohucka,"71 Nowohucka, 30-728 Kraków",30-728,Kraków
Novo Oil - Wodna,"2 Wodna, 30-552 Kraków",30-552,Kraków
Shell Zakopiańska,"48 Zakopiańska, 30-418 Kraków",30-418,Kraków
Shell Wielicka,"77 Wielicka, 30-552 Kraków",30-552,Kraków
Stacja Paliw LPG,"Mogilska, 31-445 Kraków",31-445,Kraków
bp Bonarka,"57 Generała Henryka Kamieńskiego, 30-644 Kraków",30-644,Kraków
Petro Net - Gromadzka,"24e Gromadzka, 30-714 Kraków",30-714,Kraków
LOTOS Opolska,"5 Opolska, Kraków",,Kraków
LUKOIL Opolska,"9 Opolska, 31-275 Kraków",31-275,Kraków
Orlen Mogilska,"122 Mogilska, 31-478 Kraków",31-478,Kraków
Novo Oil - Gdyńska,"Gdyńska, Kraków",,Kraków
ARGE Opolska,"60 Opolska, 31-323 Kraków",31-323,Kraków
Orlen Pilotów,"4b Pilotów, 31-462 Kraków",31-462,Kraków
Orlen Zakopiańska,"58 Zakopiańska, 30-418 Kraków",30-418,Kraków
Circle K Lublańska,"16A Lublańska, 31-476 Kraków",31-476,Kraków
Full,"3 Kazimierza Wyki, 31-223 Kraków",31-223,Kraków
Shell Conrada,"33 Josepha Conrada, 31-357 Kraków",31-357,Kraków
Shell Kobierzyńska,"Kobierzyńska, 30-382 Kraków",30-382,Kraków
